tree,green,temp
0,0,79.08026687
0.05,0,79.00583281
0.1,0,78.93153329
0.15,0,78.85683097
0.2,0,78.78000363
0.25,0,78.70012513
0.3,0,78.61768222
0.35,0,78.53288304
0.4,0,78.44523559
0.45,0,78.35411146
0.5,0,78.25929207
0.55,0,78.16137067
0.6,0,78.06144418
0.65,0,77.96058319
0.7,0,77.85959999
0.75,0,77.7586168
0.8,0,77.6576336
0.85,0,77.55665041
0.9,0,77.45566721
0.95,0,77.35468402
1,0,77.25370082
0,0.05,78.33927254
0.05,0.05,78.26483847
0.1,0.05,78.19053896
0.15,0.05,78.11583663
0.2,0.05,78.03900929
0.25,0.05,77.9591308
0.3,0.05,77.87668788
0.35,0.05,77.79188871
0.4,0.05,77.70424126
0.45,0.05,77.61311713
0.5,0.05,77.51829774
0.55,0.05,77.42037634
0.6,0.05,77.32044984
0.65,0.05,77.21958886
0.7,0.05,77.11860566
0.75,0.05,77.01762247
0.8,0.05,76.91663927
0.85,0.05,76.81565607
0.9,0.05,76.71467288
0.95,0.05,76.61368968
1,0.05,76.51270649
0,0.1,78.29006573
0.05,0.1,78.21563167
0.1,0.1,78.14133215
0.15,0.1,78.06662983
0.2,0.1,77.98980249
0.25,0.1,77.90992399
0.3,0.1,77.82748108
0.35,0.1,77.7426819
0.4,0.1,77.65503445
0.45,0.1,77.56391032
0.5,0.1,77.46909093
0.55,0.1,77.37116953
0.6,0.1,77.27124304
0.65,0.1,77.17038205
0.7,0.1,77.06939885
0.75,0.1,76.96841566
0.8,0.1,76.86743246
0.85,0.1,76.76644927
0.9,0.1,76.66546607
0.95,0.1,76.56448288
1,0.1,76.46349968
0,0.15,78.27756408
0.05,0.15,78.20313002
0.1,0.15,78.1288305
0.15,0.15,78.05412818
0.2,0.15,77.97730083
0.25,0.15,77.89742234
0.3,0.15,77.81497943
0.35,0.15,77.73018025
0.4,0.15,77.6425328
0.45,0.15,77.55140867
0.5,0.15,77.45658928
0.55,0.15,77.35866788
0.6,0.15,77.25874139
0.65,0.15,77.1578804
0.7,0.15,77.0568972
0.75,0.15,76.95591401
0.8,0.15,76.85493081
0.85,0.15,76.75394762
0.9,0.15,76.65296442
0.95,0.15,76.55198123
1,0.15,76.45099803
0,0.2,78.04514529
0.05,0.2,77.97071123
0.1,0.2,77.89641172
0.15,0.2,77.82170939
0.2,0.2,77.74488205
0.25,0.2,77.66500356
0.3,0.2,77.58256064
0.35,0.2,77.49776147
0.4,0.2,77.41011401
0.45,0.2,77.31898988
0.5,0.2,77.2241705
0.55,0.2,77.12624909
0.6,0.2,77.0263226
0.65,0.2,76.92546161
0.7,0.2,76.82447842
0.75,0.2,76.72349522
0.8,0.2,76.62251203
0.85,0.2,76.52152883
0.9,0.2,76.42054563
0.95,0.2,76.31956244
1,0.2,76.21857924
0,0.25,77.76731631
0.05,0.25,77.69288225
0.1,0.25,77.61858274
0.15,0.25,77.54388041
0.2,0.25,77.46705307
0.25,0.25,77.38717458
0.3,0.25,77.30473166
0.35,0.25,77.21993249
0.4,0.25,77.13228503
0.45,0.25,77.04116091
0.5,0.25,76.94634152
0.55,0.25,76.84842011
0.6,0.25,76.74849362
0.65,0.25,76.64763263
0.7,0.25,76.54664944
0.75,0.25,76.44566624
0.8,0.25,76.34468305
0.85,0.25,76.24369985
0.9,0.25,76.14271666
0.95,0.25,76.04173346
1,0.25,75.94075027
0,0.3,77.49130528
0.05,0.3,77.41687121
0.1,0.3,77.3425717
0.15,0.3,77.26786937
0.2,0.3,77.19104203
0.25,0.3,77.11116354
0.3,0.3,77.02872062
0.35,0.3,76.94392145
0.4,0.3,76.85627399
0.45,0.3,76.76514987
0.5,0.3,76.67033048
0.55,0.3,76.57240908
0.6,0.3,76.47248258
0.65,0.3,76.3716216
0.7,0.3,76.2706384
0.75,0.3,76.1696552
0.8,0.3,76.06867201
0.85,0.3,75.96768881
0.9,0.3,75.86670562
0.95,0.3,75.76572242
1,0.3,75.66473923
0,0.35,77.21529424
0.05,0.35,77.14086017
0.1,0.35,77.06656066
0.15,0.35,76.99185834
0.2,0.35,76.91503099
0.25,0.35,76.8351525
0.3,0.35,76.75270959
0.35,0.35,76.66791041
0.4,0.35,76.58026296
0.45,0.35,76.48913883
0.5,0.35,76.39431944
0.55,0.35,76.29639804
0.6,0.35,76.19647155
0.65,0.35,76.09561056
0.7,0.35,75.99462736
0.75,0.35,75.89364417
0.8,0.35,75.79266097
0.85,0.35,75.69167778
0.9,0.35,75.59069458
0.95,0.35,75.48971139
1,0.35,75.38872819
0,0.4,76.9392832
0.05,0.4,76.86484914
0.1,0.4,76.79054962
0.15,0.4,76.7158473
0.2,0.4,76.63901996
0.25,0.4,76.55914146
0.3,0.4,76.47669855
0.35,0.4,76.39189938
0.4,0.4,76.30425192
0.45,0.4,76.21312779
